Designator,Quantity,Value,Footprint,MPN,Manufacturer,Description
U3,1,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,SN65HVD230DR,Texas Instruments,CAN Transceiver 3.3V
U2,1,MCP2515,SOIC-18W_7.5x11.6mm_P1.27mm,MCP2515-I/SO,Microchip,CAN Controller SPI
U1,1,AMS1117-3.3,SOT-223-3_TabPin2,AMS1117-3.3,Advanced Monolithic Systems,3.3V LDO Regulator
Y1,1,16MHz,Crystal_HC49-4H_Vertical,FOXSLF/160-20,FOX Electronics,16MHz Crystal HC49
C5,1,22pF,C_0805_2012Metric,CL21C220JBANNNC,Samsung,22pF 50V C0G 0805
C6,1,22pF,C_0805_2012Metric,CL21C220JBANNNC,Samsung,22pF 50V C0G 0805
C1,1,100nF,C_0805_2012Metric,CL21B104KBCNNNC,Samsung,100nF 50V X7R 0805
C7,1,1uF,C_0805_2012Metric,CL21B105KAFNNNE,Samsung,1uF 25V X7R 0805
C9,1,1uF,C_0805_2012Metric,CL21B105KAFNNNE,Samsung,1uF 25V X7R 0805
C8,1,2.2uF,C_0805_2012Metric,CL21B225KOFNNNE,Samsung,2.2uF 16V X7R 0805
C10,1,2.2uF,C_0805_2012Metric,CL21B225KOFNNNE,Samsung,2.2uF 16V X7R 0805
C11,1,2.2uF,C_0805_2012Metric,CL21B225KOFNNNE,Samsung,2.2uF 16V X7R 0805
C3,1,10uF,C_1206_3216Metric,CL31B106KAHNNNE,Samsung,10uF 25V X5R 1206
C4,1,22uF,C_1206_3216Metric,CL31A226KAHNNNE,Samsung,22uF 25V X5R 1206
R2,1,10k,R_0805_2012Metric,RC0805FR-0710KL,Yageo,10k 1% 0805
R3,1,470,R_0805_2012Metric,RC0805FR-07470RL,Yageo,470 ohm 1% 0805
R6,1,470,R_0805_2012Metric,RC0805FR-07470RL,Yageo,470 ohm 1% 0805
L1,1,Ferrite,L_0805_2012Metric,BLM21PG221SN1D,Murata,Ferrite Bead 220 ohm 0805
L2,1,Ferrite,L_0805_2012Metric,BLM21PG221SN1D,Murata,Ferrite Bead 220 ohm 0805
LED1,1,Green,LED_0805_2012Metric,150080VS75000,Wurth,Green LED 0805
LED2,1,Red,LED_0805_2012Metric,150080RS75000,Wurth,Red LED 0805
LED3,1,Yellow,LED_0805_2012Metric,150080YS75000,Wurth,Yellow LED 0805
J1,1,Raspberry_Pi_GPIO,PinHeader_2x20_P2.54mm_Vertical,PH2-40-UA,Adam Tech,2x20 Pin Header 2.54mm
J2,1,OBD-II,PinHeader_2x08_P2.54mm_Vertical,PH2-16-UA,Adam Tech,2x8 Pin Header 2.54mm
J3,1,CAN_Term,TerminalBlock_Phoenix_MKDS-1.5-2-5.08,1729128,Phoenix Contact,2-pos Terminal Block 5.08mm
