"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"I2S_Input";;;
2;"R1,R2";"R_0805_2012Metric";2;"4.7k";;;
3;"C2,C4,C5,C9,C12,C32,C16,C13,C14,C11,C7,C17,C22,C18,C8,C15,C10,C21";"C_0805_2012Metric";18;"100nF";;;
4;"U1";"TQFP-32_7x7mm_P0.8mm";1;"PCM5142";;;
5;"C6,C1,C3";"C_0805_2012Metric";3;"10uF";;;
6;"C24,C27,C28,C25,C30,C29,C23,C26";"C_0805_2012Metric";8;"1uF";;;
7;"C19,C20";"C_1206_3216Metric";2;"10uF";;;
8;"J3,J4";"TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal";2;"Conn_01x04";;;
9;"C31";"CP_Radial_D8.0mm_P3.50mm";1;"100uF";;;
10;"U3,U4";"Texas_DAD0032A_HTSSOP-32_6.1x11mm_P0.65mm_TopEP3.71x3.81mm";2;"TPA3116D2DAD";;;
11;"J7";"PinSocket_2x20_P2.54mm_Vertical";1;"40-Pin_GPIO";;;
12;"J2";"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal";1;"12V_Input";;;
13;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
