Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",130.500000,-70.500000,180.000000,bottom
"C2","100nF","C_0805_2012Metric",129.750000,-42.900000,0.000000,bottom
"C3","10uF","C_0805_2012Metric",119.500000,-71.500000,180.000000,bottom
"C23","1uF","C_0805_2012Metric",129.050000,-57.000000,180.000000,bottom
"C24","1uF","C_0805_2012Metric",123.050000,-57.000000,180.000000,bottom
"C25","1uF","C_0805_2012Metric",116.450000,-57.000000,180.000000,bottom
"C26","1uF","C_0805_2012Metric",128.950000,-61.000000,180.000000,bottom
"C27","1uF","C_0805_2012Metric",147.550000,-59.000000,0.000000,bottom
"C28","1uF","C_0805_2012Metric",142.950000,-59.000000,0.000000,bottom
"C29","1uF","C_0805_2012Metric",138.550000,-59.000000,0.000000,bottom
"C30","1uF","C_0805_2012Metric",134.050000,-59.000000,0.000000,bottom
"U2","AMS1117-3.3","SOT-223-3_TabPin2",125.000000,-74.000000,-90.000000,bottom
