Ref,Val,Package,PosX,PosY,Rot,Side
"C4","100nF","C_0805_2012Metric",132.300000,-50.900000,0.000000,top
"C5","100nF","C_0805_2012Metric",132.300000,-47.900000,0.000000,top
"C6","10uF","C_0805_2012Metric",132.300000,-44.900000,0.000000,top
"C7","100nF","C_0805_2012Metric",117.500000,-69.000000,0.000000,top
"C8","100nF","C_0805_2012Metric",117.500000,-66.500000,0.000000,top
"C9","100nF","C_0805_2012Metric",141.712500,-70.875000,180.000000,top
"C10","100nF","C_0805_2012Metric",146.500000,-72.500000,180.000000,top
"C11","100nF","C_0805_2012Metric",115.000000,-61.000000,-90.000000,top
"C12","100nF","C_0805_2012Metric",117.500000,-61.000000,-90.000000,top
"C13","100nF","C_0805_2012Metric",120.000000,-61.000000,-90.000000,top
"C14","100nF","C_0805_2012Metric",122.500000,-61.000000,-90.000000,top
"C15","100nF","C_0805_2012Metric",137.000000,-62.950000,-90.000000,top
"C16","100nF","C_0805_2012Metric",139.000000,-62.950000,-90.000000,top
"C17","100nF","C_0805_2012Metric",141.000000,-63.000000,-90.000000,top
"C18","100nF","C_0805_2012Metric",143.000000,-63.050000,-90.000000,top
"C19","10uF","C_1206_3216Metric",124.000000,-65.000000,-90.000000,top
"C20","10uF","C_1206_3216Metric",149.000000,-64.500000,180.000000,top
"C21","100nF","C_0805_2012Metric",119.000000,-64.000000,0.000000,top
"C22","100nF","C_0805_2012Metric",140.950000,-66.000000,180.000000,top
"C32","100nF","C_0805_2012Metric",128.500000,-68.500000,0.000000,top
"R1","4.7k","R_0805_2012Metric",127.087500,-47.500000,180.000000,top
"R2","4.7k","R_0805_2012Metric",127.087500,-51.000000,180.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",157.500000,-86.000000,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",163.500000,-42.000000,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",110.000000,-86.500000,0.000000,top
"U1","PCM5142","TQFP-32_7x7mm_P0.8mm",127.087500,-49.000000,-90.000000,top
"U3","TPA3116D2DAD","Texas_DAD0032A_HTSSOP-32_6.1x11mm_P0.65mm_TopEP3.71x3.81mm",118.000000,-64.500000,-90.000000,top
"U4","TPA3116D2DAD","Texas_DAD0032A_HTSSOP-32_6.1x11mm_P0.65mm_TopEP3.71x3.81mm",140.425000,-66.712500,-90.000000,top
