Designator,Quantity,Value,Footprint,MPN,Manufacturer,Description
U1,1,TPS54560BDDA,Texas_R-PDSO-G8_EP,TPS54560BDDAR,Texas Instruments,60V 5A Step-Down Converter
U2,1,LTV-817S,DIP-4_W7.62mm,LTV-817S,Lite-On,Optocoupler Phototransistor
U3,1,attiny85,DIP-8_W7.62mm,ATTINY85-20PU,Microchip,8-bit AVR Microcontroller
Q1,1,IRLB8721PBF,TO-220-3_Vertical,IRLB8721PBF,Infineon,N-Channel MOSFET 30V 62A
Q2,1,2N7002,SOT-23,2N7002,ON Semiconductor,N-Channel MOSFET 60V 300mA
Q3,1,2N7002,SOT-23,2N7002,ON Semiconductor,N-Channel MOSFET 60V 300mA
D1,1,SMBJ18A,D_SMB,SMBJ18A,Littelfuse,TVS Diode 18V SMB
D2,1,SS34,D_SMA,SS34,ON Semiconductor,Schottky Diode 40V 3A SMA
L1,1,33uH,L_Bourns_SRN6045TA,SRN6045TA-330M,Bourns,33uH 3A Power Inductor
Y1,1,16MHz Crystal,Crystal_HC49-4H_Vertical,FOXSLF/160-20,FOX Electronics,16MHz Crystal HC49
F1,1,5A,Fuseholder_Blade_Mini_Keystone_3568,3568,Keystone,Mini Blade Fuse Holder
C1,1,100nF,C_0805_2012Metric,CL21B104KBCNNNC,Samsung,100nF 50V X7R 0805
C5,1,100nF,C_0805_2012Metric,CL21B104KBCNNNC,Samsung,100nF 50V X7R 0805
C6,1,100nF,C_0805_2012Metric,CL21B104KBCNNNC,Samsung,100nF 50V X7R 0805
C_BOOT1,1,100nF,C_0805_2012Metric,CL21B104KBCNNNC,Samsung,100nF 50V X7R 0805
C3,1,22pF,C_0805_2012Metric,CL21C220JBANNNC,Samsung,22pF 50V C0G 0805
C4,1,22pF,C_0805_2012Metric,CL21C220JBANNNC,Samsung,22pF 50V C0G 0805
C10,1,22pF,C_0805_2012Metric,CL21C220JBANNNC,Samsung,22pF 50V C0G 0805
C11,1,22pF,C_0805_2012Metric,CL21C220JBANNNC,Samsung,22pF 50V C0G 0805
C7,1,2.2uF,C_0805_2012Metric,CL21B225KOFNNNE,Samsung,2.2uF 16V X7R 0805
C_COMP1,1,2.2nF,C_0805_2012Metric,CL21B222KBANNNC,Samsung,2.2nF 50V X7R 0805
C8,1,47pF,C_1206_3216Metric,CL31C470JBCNNNC,Samsung,47pF 50V C0G 1206
C2,1,10uF,C_1206_3216Metric,CL31B106KAHNNNE,Samsung,10uF 25V X5R 1206
C9,1,22uF,C_1206_3216Metric,CL31A226KAHNNNE,Samsung,22uF 25V X5R 1206
R1,1,10k 1%,R_0805_2012Metric,RC0805FR-0710KL,Yageo,10k 1% 0805
R2,1,470,R_0805_2012Metric,RC0805FR-07470RL,Yageo,470 ohm 1% 0805
R3,1,51k 1%,R_0805_2012Metric,RC0805FR-0751KL,Yageo,51k 1% 0805
R4,1,10k,R_0805_2012Metric,RC0805FR-0710KL,Yageo,10k 1% 0805
R5,1,10k,R_0805_2012Metric,RC0805FR-0710KL,Yageo,10k 1% 0805
R6,1,1k,R_0805_2012Metric,RC0805FR-071KL,Yageo,1k 1% 0805
R7,1,120,R_0805_2012Metric,RC0805FR-07120RL,Yageo,120 ohm 1% 0805
R8,1,10k,R_0805_2012Metric,RC0805FR-0710KL,Yageo,10k 1% 0805
R9,1,1k,R_0805_2012Metric,RC0805FR-071KL,Yageo,1k 1% 0805
R10,1,1k,R_0805_2012Metric,RC0805FR-071KL,Yageo,1k 1% 0805
R_COMP1,1,10k,R_0805_2012Metric,RC0805FR-0710KL,Yageo,10k 1% 0805
R_RT1,1,100k,R_0805_2012Metric,RC0805FR-07100KL,Yageo,100k 1% 0805
J1,1,Micro-Fit_3.0,Molex_Micro-Fit_3.0_43045-0612,43045-0612,Molex,2x3 Micro-Fit 3.0mm
J2,1,Raspberry_Pi_GPIO,PinHeader_2x20_P2.54mm_Vertical,PH2-40-UA,Adam Tech,2x20 Pin Header 2.54mm
J3,1,ISP,PinHeader_2x03_P2.54mm_Vertical,PH2-06-UA,Adam Tech,2x3 Pin Header 2.54mm
J4,1,FAN_4PIN,PinHeader_1x04_P2.54mm_Vertical,PH1-04-UA,Adam Tech,1x4 Pin Header 2.54mm
JP1,1,Jumper,PinHeader_1x02_P2.54mm_Vertical,PH1-02-UA,Adam Tech,1x2 Pin Header 2.54mm
JP2,1,5V/12V,PinHeader_1x03_P2.54mm_Vertical,PH1-03-UA,Adam Tech,1x3 Pin Header 2.54mm
