"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias";1;"TPS54560BDDA";;;
2;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"ISP";;;
3;"L1";"L_Bourns_SRN6045TA";1;"33uH";;;
4;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"Jumper";;;
5;"C11,C10,C4,C3";"C_0805_2012Metric";4;"22pF";;;
6;"Y1";"Crystal_HC49-4H_Vertical";1;"16Mhz Crystal";;;
7;"F1";"Fuseholder_Blade_Mini_Keystone_3568";1;"5A";;;
8;"J2";"PinHeader_2x20_P2.54mm_Vertical";1;"Raspberry_Pi_GPIO";;;
9;"JP2";"PinHeader_1x03_P2.54mm_Vertical";1;"5V/12V";;;
10;"Q1";"TO-220-3_Vertical";1;"IRLB8721PBF";;;
11;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"FAN_4PIN";;;
12;"U3";"DIP-8_W7.62mm";1;"attiny85";;;
13;"J1";"Molex_Micro-Fit_3.0_43045-0612_2x03_P3.00mm_Vertical";1;"Micro-Fit_3.0";;;
14;"U2";"DIP-4_W7.62mm";1;"LTV-817S";;;
15;"D2";"D_SMA";1;"SS34";;;
16;"R2";"R_0805_2012Metric";1;"470";;;
17;"R3";"R_0805_2012Metric";1;"51k 1%";;;
18;"C1,C_BOOT1,C5,C6";"C_0805_2012Metric";4;"100nF";;;
19;"C9";"C_1206_3216Metric";1;"22uF";;;
20;"R1";"R_0805_2012Metric";1;"10k 1%";;;
21;"D1";"D_SMB";1;"SMBJ18A";;;
22;"R5,R4,R8,R_COMP1";"R_0805_2012Metric";4;"10k";;;
23;"C2";"C_1206_3216Metric";1;"10uF";;;
24;"R7";"R_0805_2012Metric";1;"120";;;
25;"R9,R10,R6";"R_0805_2012Metric";3;"1k";;;
26;"Q3,Q2";"SOT-23";2;"2N7002";;;
27;"R_RT1";"R_0805_2012Metric";1;"100k";;;
28;"C8";"C_1206_3216Metric";1;"47pF";;;
29;"C7";"C_0805_2012Metric";1;"2.2uF";;;
30;"C_COMP1";"C_0805_2012Metric";1;"2.2nF";;;
